indicator,ISO Country code,happy planet index : 2019,human development index : 2021,sustainable economic development assessment (SEDA) : 2018,population : 2018,surface area (Km2) : 2018,"GDP growth
(annual %) : 2021 or latest year","GDP 
($ USD billions PPP) : 2021",GDP per capita in $ (PPP) : 2021,Economic Growth : 2021 or latest,"health expenditure 
per person : 2019",infant mortality : 2020,"maternal mortality per 100,000 live births : 2017 (latest year)","education expenditure
% of GDP : 2021 or latest year",Education as % of GDP : 2021 or latest,% of primary school aged kids out of school : 2021 or latest year,unemployment (%) : 2021,% of population in extreme poverty : latest year,% of population with access to electricity : 2020,political rights score : 2022,civil liberties score : 2022,political stability & absence of violence : 2021,government effectiveness : 2021,regulatory quality : 2021,rule of law : 2021,control of corruption : 2021,judicial effectiveness score : 2022,government integrity score : 2022,overall economic freedom score : 2022,financial freedom score : 2022,government expenditure (% of GDP) : 2018,CO2e emissions per capita : 2019,share of electricity from renewables generation : 2020 or latest year,% of seats held by women in national parliaments : 2021,Military Spending as % of GDP : 2021
Sweden,SWE,50.5,0.947,81.9,"10,000,000","410,335",4.8,552.6,59324,4.8,5671.4,37.4,4,,-,0.12,8.66,0.2,100,40,60,1.03,1.7,1.8,1.734,2.13,97.1,95.7,77.9,80,50.6,3.41,70.1,47,1.28
Switzerland,CHE,60.1,0.962,83.8,"8,000,000","39,997",3.69,615.7,77324,3.69,9666.3,,5,,-,0.08,5.32,,100,39,57,1.13,2,1.7,1.808,1.99,98,92.3,84.2,90,34,4.36,67.4,43,0.71
Syria,SYR,-,0.577,-,"18,000,000","183,630",,0,,-,,,31,,-,,10.57,,89.1,-3,4,-2.66,-1.7,-1.6,-2.07,-1.78,-,-,-,-,-,1.51,7.5,11,
Taiwan,TWN,43.2,-,-,"24,000,000","32,260",,0,,,,,,,,,-,,,38,56,0.78,1.470059156,1.47355628,1.296,1.21,94.2,73.8,80.1,60,17.8,,6.6,24,1.74
Tajikistan,TJK,55.2,0.685,41.3,"9,000,000","141,510",9.2,38.1,4288,9.2,61.9,36.1,17,5.71,5.71,,7.75,,99.8,0,8,-0.61,-0.6,-1.1,-1.185,-1.34,9.1,17.8,49.7,30,30.9,1.01,93.1,37,1.01
Tanzania,TZA,37,0.549,36,"57,000,000","885,800",4.28,159.3,2933,4.28,40.3,31.9,524,3.3,3.3,16.08,2.65,13.6,39.9,12,22,-0.44,-0.6,-0.6,-0.523,-0.36,27,36.9,59.5,50,18.5,0.21,33.5,,1.07
Thailand,THA,52.9,0.8,52.4,"69,000,000","510,890",1.57,"1,223.10",19209,1.57,296.2,28.4,37,2.97,2.97,,1.42,0,100,5,24,-0.55,0.3,0.1,0.115,-0.46,36.2,38.5,63.2,60,22,3.84,16.7,16,1.32
Timor-Leste,TLS,-,0.607,-,"1,200,000","14,874",4.4,5.4,4418,4.4,92.7,19.2,142,,-,4.9,5.07,,96.1,33,39,0.17,-0.8,-0.8,-0.998,-0.05,35.3,38.2,46.3,20,48,0.48,0,38,1.14
Togo,TGO,37.3,0.539,34.9,"8,000,000","54,385",5.26,18.4,2380,5.26,51.2,7.4,396,3.99,3.99,1.22,4,8.5,54,15,27,-0.8,-0.6,-0.6,-0.559,-0.67,35.1,28.8,57.2,30,29.8,0.29,17.1,19,1.78
Trinidad and Tobago,TTO,31.6,0.81,58.7,"1,400,000","5,128",-0.99,34.3,26868,-0.99,1167.9,14.3,67,4.1,4.1,,4.8,,100,33,49,0.15,0.2,-0.1,-0.136,-0.28,59.3,44.2,58.8,50,39,12.32,0.1,26,0.89
Tunisia,TUN,43.9,0.731,49.3,"12,000,000","155,360",3.34,126,11595,3.34,233.1,8.1,43,,-,,16.82,,100,26,38,-0.7,-0.2,-0.4,0.096,-0.23,49.5,47.3,54.2,30,28.6,2.56,3.9,26,2.83
Turkiye,TUR,41.3,0.838,53.3,"81,000,000","769,632",10.99,"2,657.80",30472,10.99,396.5,18.7,17,,-,4.78,13.39,0,100,16,16,-1.1,-0.1,-0.1,-0.416,-0.39,25.6,39.4,56.9,60,32.6,4.76,43.8,17,2.06
Turkmenistan,TKM,33,0.745,-,"6,000,000","469,930",,0,,6.3,500,13.9,7,3.12,3.12,,5.08,,100,0,2,-0.32,-0.9,-2,-1.442,-1.42,8.3,7.4,46.2,10,16.1,12.26,0,25,
Uganda,UGA,44.8,0.525,30.9,"43,000,000","197,100",3.38,102.9,2398,3.38,32.4,6.9,,2.67,2.67,,2.94,13.7,42.1,11,23,-0.86,-0.6,-0.5,-0.352,-1,29.2,24,54.2,40,17.4,0.13,98.9,34,2.42
Ukraine,UKR,40.9,0.773,52.5,"45,000,000","579,330",3.4,535.6,14220,3.4,248.1,9.1,19,5.44,5.44,,8.88,0,100,26,35,-1.1,-0.4,-0.3,-0.66,-0.77,31.4,33.8,54.1,30,42.8,3.94,6.5,21,3.23
United Arab Emirates,ARE,34.3,0.911,70.4,"9,000,000","83,600",-6.13,0,,-6.13,1842.7,7.6,3,3.88,3.88,0.24,3.36,0,100,5,12,0.65,1.4,1,0.83,1.18,35.4,71.8,70.2,60,31.2,19.33,2.7,50,
United Kingdom,GBR,56,0.929,74.6,"66,000,000","241,930",7.44,"3,086.20",49675,7.44,4312.9,8.2,7,,-,1.13,4.53,,100,39,54,0.54,1.3,1.5,1.427,1.67,85.9,87.1,72.7,80,43,5.22,47.1,34,2.22
United States,USA,37.4,0.921,76,"326,000,000","9,147,593",5.67,"20,932.30",69288,5.67,10921,12.5,19,,-,0.92,5.46,0.8,100,32,51,0,1.3,1.5,1.417,1.05,77.9,75.7,72.1,80,38.1,14.67,20.9,28,3.48
Uruguay,URY,57.5,0.809,64.2,"3,500,000","175,015",4.37,78.1,24625,4.37,1661,5.4,17,4.7,4.7,0.56,10.45,0.1,100,40,57,1.05,0.8,0.7,0.732,1.62,80.4,75.2,70,30,32.4,1.87,98.3,24,2.26
Uzbekistan,UZB,54.1,0.727,43.1,"32,000,000","425,400",7.42,270.1,8497,7.42,98.6,12.9,29,4.92,4.92,0.94,7.16,,100,2,9,-0.24,-0.2,-0.6,-0.886,-0.81,13.1,23.8,55.7,40,33.9,3.48,10.8,33,
Venezuela,VEN,48.9,0.691,43.1,"32,000,000","882,050",,0,,-,338.8,,125,,-,,6.41,,100,1,13,-1.53,-1.9,-2.2,-2.296,-1.61,4.6,7.1,24.8,10,37.7,3.94,68.4,22,
Vietnam,VNM,48.4,0.703,50.8,"96,000,000","310,070",2.59,"1,032.40",11553,2.59,180.7,21.1,43,4.06,4.06,,2.17,0.2,100,3,16,-0.11,0.3,-0.4,-0.146,-0.29,33.8,33.6,60.6,50,29.4,3.49,28.2,30,
Yemen,YEM,44.6,0.455,23.9,"28,000,000","527,968",-2.06,0,,-2.06,,25.8,164,,-,,13.57,,73.8,1,8,-2.59,-2.3,-2,-1.799,-1.65,-,-,-,-,25.2,0.38,14.6,0,
Zambia,ZMB,34.4,0.565,33.2,"17,000,000","743,398",3.57,62.4,3624,3.57,69.3,37.9,213,3.7,3.7,,13.03,,44.5,21,30,0.06,-0.8,-0.6,-0.593,-0.75,45.2,30.8,48.7,50,25.7,0.38,87,15,1.3
Zimbabwe,ZWE,28.6,0.593,29.7,"17,000,000","386,847",5.85,33.6,2444,5.85,103,,458,,-,13.64,5.17,13.5,52.7,11,17,-1.03,-1.2,-1.4,-1.261,-1.26,16.3,20.6,33.1,10,30.6,0.8,66,32,0.01
Average,,44.47248322,0.7173964497,51.83489933,"43,155,172","742,221",4.806407186,751.8424419,23061.48101,4.897185629,1163.56988,20.0955414,168.297619,4.4866,4.548415842,5.466082474,8.24380117,2.272093023,84.52151163,21.51149425,32.93103448,-0.2158381503,-0.08687827077,-0.1030430273,-0.1439170638,-0.1310404624,48.8,44.89580838,59.89101796,49.64071856,33.11058824,4.177076023,38.34821429,25.33136095,1.878424658
Min,,24.3,0.385,16.1,"300,000",298,-17.98,0,793,-17.98,19.8,1.5,2,1.33,1.33,0.01,0.26,0,7.2,-3,2,-2.68,-2.4,-2.3,-2.296,-1.82,3.9,3.8,3,0,11,0.04,0,0,0.01
Max,,62.1,0.962,85.3,"1,386,000,000","16,377,742",31.37,"24,861.30",134754,31.37,10921,80.1,1150,15.75,15.75,41.03,33.56,29.3,100,40,60,1.49,2.3,2.2,2.058,2.37,98,99.5,84.4,90,92.9,32.47,100,61,7.34
